title,description,category,priority
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",MATERIEL,MEDIUM
Connexion internet très lente,"La connexion internet est anormalement lente ce matin sur tout l'étage. Merci de traiter rapidement, cela ralentit fortement mon activité.",RESEAU,HIGH
Mise à jour bloquée,"La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. Besoin d'une résolution rapide, l'impact sur mon travail est important.",LOGICIEL,HIGH
Wifi instable au bureau,"La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",RESEAU,HIGH
Droits insuffisants sur une application,"Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACCES_COMPTE,CRITICAL
Partage réseau inaccessible,"Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. Merci de traiter rapidement, cela ralentit fortement mon activité.",RESEAU,HIGH
Compte bloqué après plusieurs essais,Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACCES_COMPTE,MEDIUM
Compte bloqué après plusieurs essais,"Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACCES_COMPTE,MEDIUM
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. Besoin d'une résolution rapide, l'impact sur mon travail est important.",MATERIEL,HIGH
Aucun accès réseau depuis ce matin,"Mon poste n'a plus aucun accès au réseau interne depuis ce matin. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",RESEAU,MEDIUM
Demande d'information diverse,"Pourriez-vous me confirmer les horaires d'ouverture du support technique ? C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",AUTRE,HIGH
Demande d'information diverse,"Pourriez-vous me confirmer les horaires d'ouverture du support technique ? Besoin d'une résolution rapide, l'impact sur mon travail est important.",AUTRE,HIGH
Commande de mobilier ergonomique,"Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACHAT,HIGH
Casque audio hors service,"Mon casque ne produit plus aucun son lors des appels visio. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",MATERIEL,HIGH
Ordinateur portable très lent,"Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. Besoin d'une résolution rapide, l'impact sur mon travail est important.",MATERIEL,HIGH
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",MATERIEL,LOW
Imprimante bloquée,"L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",MATERIEL,CRITICAL
Nouveau compte utilisateur,"Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACCES_COMPTE,LOW
Nouveau compte utilisateur,"Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACCES_COMPTE,HIGH
Batterie d'ordinateur portable défaillante,"La batterie de mon portable ne tient plus que quelques minutes hors secteur. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",MATERIEL,CRITICAL
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACHAT,LOW
Commande de mobilier ergonomique,"Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACHAT,MEDIUM
Demande d'accès à un dossier partagé,"Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACCES_COMPTE,LOW
VPN qui se déconnecte,"Ma connexion VPN se coupe toutes les dix minutes en télétravail. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",RESEAU,CRITICAL
Accès VPN refusé,La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACCES_COMPTE,MEDIUM
VPN qui se déconnecte,"Ma connexion VPN se coupe toutes les dix minutes en télétravail. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",RESEAU,CRITICAL
Besoin d'une licence logicielle supplémentaire,Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. Simple remarque sans caractère urgent.,LOGICIEL,LOW
Wifi instable au bureau,"La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",RESEAU,CRITICAL
Suggestion d'amélioration,"Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",AUTRE,CRITICAL
Mise à jour bloquée,"La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",LOGICIEL,HIGH
Retour d'expérience,"Je souhaite faire un retour sur mon expérience récente avec le support informatique. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",AUTRE,MEDIUM
Demande d'information diverse,"Pourriez-vous me confirmer les horaires d'ouverture du support technique ? C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",AUTRE,CRITICAL
Casque audio hors service,"Mon casque ne produit plus aucun son lors des appels visio. Ce n'est pas prioritaire de mon côté, prenez votre temps.",MATERIEL,LOW
Droits insuffisants sur une application,"Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACCES_COMPTE,HIGH
Débit réseau très faible en visio,"Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",RESEAU,MEDIUM
Compte bloqué après plusieurs essais,"Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACCES_COMPTE,CRITICAL
Nouveau compte utilisateur,Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACCES_COMPTE,MEDIUM
Débit réseau très faible en visio,"Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",RESEAU,CRITICAL
Commande de matériel informatique,Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACHAT,MEDIUM
Commande de matériel informatique,"Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACHAT,HIGH
VPN qui se déconnecte,Ma connexion VPN se coupe toutes les dix minutes en télétravail. Simple remarque sans caractère urgent.,RESEAU,LOW
Application métier qui plante,"L'application métier se ferme brutalement dès que j'ouvre un dossier client. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",LOGICIEL,LOW
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",MATERIEL,CRITICAL
Besoin d'une licence logicielle supplémentaire,"Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",LOGICIEL,MEDIUM
Demande d'accès à un dossier partagé,"Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACCES_COMPTE,LOW
Logiciel de messagerie qui ne synchronise plus,"Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",LOGICIEL,MEDIUM
Demande de formation,"Je souhaite m'inscrire à une formation sur les outils bureautiques. Merci de traiter rapidement, cela ralentit fortement mon activité.",AUTRE,HIGH
Application métier qui plante,"L'application métier se ferme brutalement dès que j'ouvre un dossier client. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",LOGICIEL,CRITICAL
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",MATERIEL,MEDIUM
Logiciel de messagerie qui ne synchronise plus,"Le client de messagerie ne synchronise plus les nouveaux e-mails depuis ce matin. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",LOGICIEL,CRITICAL
Commande de matériel informatique,Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. Simple remarque sans caractère urgent.,ACHAT,LOW
Suggestion d'amélioration,"Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",AUTRE,MEDIUM
Connexion internet très lente,"La connexion internet est anormalement lente ce matin sur tout l'étage. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",RESEAU,CRITICAL
Commande de matériel informatique,"Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACHAT,MEDIUM
Retour d'expérience,"Je souhaite faire un retour sur mon expérience récente avec le support informatique. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",AUTRE,CRITICAL
Besoin d'une licence logicielle supplémentaire,"Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",LOGICIEL,HIGH
Demande d'information diverse,"Pourriez-vous me confirmer les horaires d'ouverture du support technique ? Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",AUTRE,CRITICAL
Droits insuffisants sur une application,"Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. Besoin d'une résolution rapide, l'impact sur mon travail est important.",ACCES_COMPTE,HIGH
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACHAT,CRITICAL
Retour d'expérience,"Je souhaite faire un retour sur mon expérience récente avec le support informatique. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",AUTRE,HIGH
Wifi instable au bureau,"La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",RESEAU,CRITICAL
Écran fissuré,"L'écran de mon ordinateur portable est fissuré suite à une chute, l'affichage reste partiellement lisible. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.",MATERIEL,MEDIUM
Validation d'un budget d'achat,"Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACHAT,LOW
Aucun accès réseau depuis ce matin,"Mon poste n'a plus aucun accès au réseau interne depuis ce matin. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",RESEAU,CRITICAL
Imprimante bloquée,"L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",MATERIEL,LOW
Débit réseau très faible en visio,"Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. Merci de traiter rapidement, cela ralentit fortement mon activité.",RESEAU,HIGH
Commande de matériel informatique,"Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACHAT,LOW
Suggestion d'amélioration,"Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. Merci de traiter rapidement, cela ralentit fortement mon activité.",AUTRE,HIGH
Besoin d'une licence logicielle supplémentaire,"Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",LOGICIEL,MEDIUM
Demande de devis fournisseur,"Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACHAT,HIGH
Impossible d'installer le logiciel comptable,"Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",LOGICIEL,CRITICAL
Mot de passe oublié,"J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACCES_COMPTE,LOW
Mot de passe oublié,"J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACCES_COMPTE,CRITICAL
Casque audio hors service,"Mon casque ne produit plus aucun son lors des appels visio. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",MATERIEL,CRITICAL
Mot de passe oublié,"J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACCES_COMPTE,HIGH
Débit réseau très faible en visio,"Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. Ce n'est pas prioritaire de mon côté, prenez votre temps.",RESEAU,LOW
Droits insuffisants sur une application,"Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACCES_COMPTE,MEDIUM
Demande d'information diverse,"Pourriez-vous me confirmer les horaires d'ouverture du support technique ? Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",AUTRE,MEDIUM
Question générale sur une procédure,"Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",AUTRE,CRITICAL
Ordinateur portable très lent,Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,MATERIEL,MEDIUM
Demande de formation,Je souhaite m'inscrire à une formation sur les outils bureautiques. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,AUTRE,MEDIUM
Commande de mobilier ergonomique,"Plusieurs collaborateurs demandent un siège ergonomique suite à une recommandation médicale. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACHAT,CRITICAL
Bug d'affichage dans le logiciel RH,"Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",LOGICIEL,MEDIUM
Application métier qui plante,"L'application métier se ferme brutalement dès que j'ouvre un dossier client. Besoin d'une résolution rapide, l'impact sur mon travail est important.",LOGICIEL,HIGH
Demande de devis fournisseur,Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. Simple remarque sans caractère urgent.,ACHAT,LOW
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",MATERIEL,CRITICAL
Souris qui ne répond plus,"La souris filaire de mon poste ne bouge plus le curseur, j'ai déjà changé de port USB. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",MATERIEL,CRITICAL
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACHAT,LOW
Impossible d'installer le logiciel comptable,Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. Simple remarque sans caractère urgent.,LOGICIEL,LOW
VPN qui se déconnecte,"Ma connexion VPN se coupe toutes les dix minutes en télétravail. Merci de traiter rapidement, cela ralentit fortement mon activité.",RESEAU,HIGH
Mot de passe oublié,"J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACCES_COMPTE,MEDIUM
Partage réseau inaccessible,"Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",RESEAU,MEDIUM
Partage réseau inaccessible,"Le lecteur réseau partagé de l'équipe est inaccessible depuis hier soir. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",RESEAU,CRITICAL
Bug d'affichage dans le logiciel RH,"Le logiciel RH affiche des données erronées sur l'onglet congés depuis la dernière mise à jour. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",LOGICIEL,HIGH
Connexion internet très lente,"La connexion internet est anormalement lente ce matin sur tout l'étage. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",RESEAU,HIGH
Imprimante bloquée,"L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",MATERIEL,MEDIUM
Compte bloqué après plusieurs essais,"Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACCES_COMPTE,LOW
Batterie d'ordinateur portable défaillante,La batterie de mon portable ne tient plus que quelques minutes hors secteur. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,MATERIEL,MEDIUM
Wifi instable au bureau,"La connexion wifi se coupe régulièrement dans notre open space depuis deux jours. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",RESEAU,CRITICAL
Droits insuffisants sur une application,"Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACCES_COMPTE,HIGH
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACHAT,LOW
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",MATERIEL,CRITICAL
Besoin d'une licence logicielle supplémentaire,Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,LOGICIEL,MEDIUM
Aucun accès réseau depuis ce matin,"Mon poste n'a plus aucun accès au réseau interne depuis ce matin. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",RESEAU,CRITICAL
Erreur au lancement d'une application,"L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. Besoin d'une résolution rapide, l'impact sur mon travail est important.",LOGICIEL,HIGH
Mot de passe oublié,J'ai oublié le mot de passe de ma session et je ne peux plus me connecter. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,ACCES_COMPTE,MEDIUM
Ordinateur portable très lent,"Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. Ce n'est pas prioritaire de mon côté, prenez votre temps.",MATERIEL,LOW
Compte bloqué après plusieurs essais,Mon compte a été bloqué après plusieurs tentatives de connexion infructueuses. Simple remarque sans caractère urgent.,ACCES_COMPTE,LOW
Demande de formation,"Je souhaite m'inscrire à une formation sur les outils bureautiques. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",AUTRE,MEDIUM
Retour d'expérience,Je souhaite faire un retour sur mon expérience récente avec le support informatique. Simple remarque sans caractère urgent.,AUTRE,LOW
Erreur au lancement d'une application,"L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",LOGICIEL,MEDIUM
Validation d'un budget d'achat,"Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACHAT,HIGH
Application métier qui plante,L'application métier se ferme brutalement dès que j'ouvre un dossier client. Simple remarque sans caractère urgent.,LOGICIEL,LOW
Casque audio hors service,"Mon casque ne produit plus aucun son lors des appels visio. Merci de traiter rapidement, cela ralentit fortement mon activité.",MATERIEL,HIGH
Suggestion d'amélioration,"Je propose d'ajouter une FAQ pour les questions les plus fréquentes du service. Ce n'est pas prioritaire de mon côté, prenez votre temps.",AUTRE,LOW
Erreur au lancement d'une application,"L'application de gestion de projet affiche une erreur au démarrage et se ferme aussitôt. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",LOGICIEL,HIGH
Demande de formation,"Je souhaite m'inscrire à une formation sur les outils bureautiques. Besoin d'une résolution rapide, l'impact sur mon travail est important.",AUTRE,HIGH
Commande de matériel informatique,"Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",ACHAT,CRITICAL
Casque audio hors service,"Mon casque ne produit plus aucun son lors des appels visio. C'est totalement bloquant, toute mon équipe est à l'arrêt, besoin d'une intervention immédiate.",MATERIEL,CRITICAL
Question générale sur une procédure,"Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",AUTRE,MEDIUM
Validation d'un budget d'achat,"Je soumets une demande de validation budgétaire pour l'achat de nouveaux serveurs. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",ACHAT,MEDIUM
Écran qui ne s'allume plus,"Mon écran externe ne s'allume plus depuis ce matin, l'ordinateur fonctionne normalement par ailleurs. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.",MATERIEL,MEDIUM
Question générale sur une procédure,"Je souhaite connaître la procédure à suivre pour signaler un incident de sécurité. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",AUTRE,HIGH
Besoin d'une licence logicielle supplémentaire,"Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",LOGICIEL,CRITICAL
Aucun accès réseau depuis ce matin,"Mon poste n'a plus aucun accès au réseau interne depuis ce matin. Ce n'est pas prioritaire de mon côté, prenez votre temps.",RESEAU,LOW
Droits insuffisants sur une application,"Je n'ai plus les droits nécessaires pour valider les commandes dans l'application achats. Ce n'est pas prioritaire de mon côté, prenez votre temps.",ACCES_COMPTE,LOW
Application métier qui plante,"L'application métier se ferme brutalement dès que j'ouvre un dossier client. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",LOGICIEL,MEDIUM
Demande d'accès à un dossier partagé,"Je souhaite obtenir l'accès en lecture au dossier partagé du service comptabilité. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACCES_COMPTE,CRITICAL
Demande de formation,"Je souhaite m'inscrire à une formation sur les outils bureautiques. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",AUTRE,CRITICAL
Commande de matériel informatique,"Je souhaite commander deux ordinateurs portables pour les nouveaux arrivants du service. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",ACHAT,CRITICAL
Débit réseau très faible en visio,"Les visioconférences sont très saccadées à cause d'un débit réseau insuffisant. Besoin d'une résolution rapide, l'impact sur mon travail est important.",RESEAU,HIGH
Renouvellement de licence logicielle,"La licence de notre outil de conception arrive à expiration le mois prochain, merci de la renouveler. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACHAT,HIGH
Impossible d'installer le logiciel comptable,"Le programme d'installation du logiciel comptable s'arrête avec une erreur inconnue. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",LOGICIEL,MEDIUM
Connexion internet très lente,"La connexion internet est anormalement lente ce matin sur tout l'étage. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",RESEAU,CRITICAL
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. Ce n'est pas prioritaire de mon côté, prenez votre temps.",MATERIEL,LOW
Aucun accès réseau depuis ce matin,"Mon poste n'a plus aucun accès au réseau interne depuis ce matin. Besoin d'une résolution rapide, l'impact sur mon travail est important.",RESEAU,HIGH
Nouveau compte utilisateur,"Merci de créer un compte pour le nouvel arrivant qui commence lundi prochain. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",ACCES_COMPTE,HIGH
Application métier qui plante,"L'application métier se ferme brutalement dès que j'ouvre un dossier client. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",LOGICIEL,CRITICAL
Application métier qui plante,L'application métier se ferme brutalement dès que j'ouvre un dossier client. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,LOGICIEL,MEDIUM
Imprimante bloquée,"L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",MATERIEL,CRITICAL
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.",MATERIEL,MEDIUM
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",MATERIEL,MEDIUM
Accès VPN refusé,"La connexion VPN refuse mes identifiants alors qu'ils fonctionnaient la semaine dernière. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",ACCES_COMPTE,LOW
Aucun accès réseau depuis ce matin,Mon poste n'a plus aucun accès au réseau interne depuis ce matin. Simple remarque sans caractère urgent.,RESEAU,LOW
Imprimante bloquée,"L'imprimante du service affiche un bourrage papier permanent malgré plusieurs tentatives de nettoyage. Besoin d'une résolution rapide, l'impact sur mon travail est important.",MATERIEL,HIGH
Connexion internet très lente,La connexion internet est anormalement lente ce matin sur tout l'étage. Ce n'est pas bloquant mais j'aimerais une résolution dans les prochains jours.,RESEAU,MEDIUM
Retour d'expérience,"Je souhaite faire un retour sur mon expérience récente avec le support informatique. Besoin d'une résolution rapide, l'impact sur mon travail est important.",AUTRE,HIGH
Demande de devis fournisseur,"Merci de solliciter un devis auprès de notre fournisseur habituel pour du mobilier de bureau. Situation critique : la production est interrompue, merci d'intervenir en urgence absolue.",ACHAT,CRITICAL
Ordinateur portable très lent,"Mon ordinateur portable met plus de dix minutes à démarrer et rame sur toutes les applications. Merci de traiter cette demande quand vous aurez un moment, pas d'urgence particulière.",MATERIEL,MEDIUM
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",ACHAT,MEDIUM
Batterie d'ordinateur portable défaillante,"La batterie de mon portable ne tient plus que quelques minutes hors secteur. Blocage total, aucune activité possible tant que ce n'est pas résolu, urgence maximale.",MATERIEL,CRITICAL
Application métier qui plante,"L'application métier se ferme brutalement dès que j'ouvre un dossier client. C'est assez urgent, cela m'empêche de travailler normalement aujourd'hui.",LOGICIEL,HIGH
Mise à jour bloquée,"La mise à jour de l'outil bureautique reste bloquée à 40% depuis hier. Impact modéré sur mon activité, une prise en charge sous quelques jours conviendrait.",LOGICIEL,MEDIUM
Besoin d'une licence logicielle supplémentaire,"Je souhaite obtenir une licence supplémentaire pour l'outil de conception graphique. Besoin d'une résolution rapide, l'impact sur mon travail est important.",LOGICIEL,HIGH
Achat de fournitures de bureau,"Le service manque de fournitures de bureau courantes, merci de passer commande. Merci de traiter rapidement, cela ralentit fortement mon activité.",ACHAT,HIGH
Clavier défectueux,"Plusieurs touches de mon clavier ne répondent plus, notamment la barre d'espace. Aucune urgence, vous pouvez traiter cela quand vous le pourrez.",MATERIEL,LOW
